nombre,direccion,codigo postal,pais,telefono,actividades
ITZEL IMPORTACIONES & EXPORTACIONES S.A.C,Jr.Jose Antonio De Sucre Nor. A 3 Cuad. De La Metropolitana,15001 Lima,Peru,+51 1 3249351,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
PRINTGRAPH XXI S.A.C,Jr.Huancavelica Nor.641,15001 Lima,Peru,+51 1 3328016,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
J & MAY'S LINGERIE E.I.R.L,Cl. Las Lausonias Nor.657,15001 Lima,Peru,+51 1 7847833,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
B & G EXPOR TEXTIL SOCIEDAD ANONIMA CERRADA - B & G EXPOR TEXTIL S.A.C,Los Safiros Nor.1868 Alt Paradero 12 De Proceres De Independe,15001 Lima,Peru,+51 1 3752989,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTIL SHINA S.A.C,Mlc. Checa Nor.149A 1Era Cdra.De La Av. Gran Chimu,15001 Lima,Peru,+51 1 4596458,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
G Y G IMPRESORES SAC,Amat Y Junet Nro 255 La Virreyna,15001 Lima,Peru,+51 1 7796668,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
CASA NOR S.A.C,Av. Jose Leal Nor.116 Altura De Av. Arenales Y Canevaro,15001 Lima,Peru,+51 1 2658825,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTILES IVLATEX S.C.R.L,Jr.Gamarra Nor.675,15001 Lima,Peru,+51 1 4237323,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TRADING SOLUTIONS 3KCS S.A.C,Jr.Tiahuanaco Nor.1062,15001 Lima,Peru,+51 1 3257750,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
GRAFICASTELLANOS S.A.C,Cl. Nueva York Nor.353 Cdra.8 De Av. Huaylas,15001 Lima,Peru,+51 1 8787956,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
HAYZEL COLOR S.A.C,Jr.Puno Nor.537,15001 Lima,Peru,+51 1 4285056,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
XERO CAD E.I.R.L,Cl. Gerona Nor.128 A 1 Cdra. Facultad De Odontologia Usmp,15001 Lima,Peru,+51 1 2688311,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
IMPRESOS & DISENOS S.A.C,Cl. Teofilo Castillo Nor.1750 Alt.Cdra.24 Av.Venezuela,15001 Lima,Peru,+51 1 3365562,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
IMPORTACIONES Z & G E.I.R.L,Jr.Leticia Nor.673,15001 Lima,Peru,+51 1 4285230,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
GOMA ESPUMA DEL PERU SRL,Av.Angamos Este Nro 1737,15001 Lima,Peru,+51 1 469605,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
DECOR SERG S.A.C,Jr.Antofagasta. Nro 2066 Lima,15001 Lima,Peru,+51 1 5710152,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
WB_LARCH GRAFICA E.I.R.L,Jr.Centenario Nor.1076 Al Frente Del Colegio Mariano Melgar,15001 Lima,Peru,+51 1 4230955,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
DECOR HOGAR SAN JUAN BAUTISTA S.A,Jr.Gamarra Nor.1159,15001 Lima,Peru,+51 1 4733166,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
COMPANIA INDUSTRIAL ROMOSA SAC,Av. Maquinarias Nro. 2401 Z.I. Conde de las Torres,15001 Lima,Peru,+51 1 3366611,Hilos y torcidos de fibras químicas: (Productor) Hilados en proceso de algodón de fibras químicas(Productor) Hilados con sistema de lana cardada de fibras químicas(Productor) Hilados de fibras químicas enrollados con otros hilados(Productor) Hilados open end de fibras químicas(Productor) Hilados mixtos de fibras químicas(Productor) Hilos de fibras químicas de torsión a un cabo
AMIL - ITALY SOCIEDAD ANONIMA CERRADA - AMIL - ITALY S.A.C,Cl. Jose Domingo Choquehuanca Nor.453 Cdra.12 Av. La Mar - Av. El Ejercito,15001 Lima,Peru,+51 1 4890359,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
ADIDAS CHILE LTDA. SUC. DEL PERU,Av.Santa Cruz 970,15001 Lima,Peru,+51 1 7059500,Telas NES para uso industrial: (Productor) Tejidos industriales para lavandería y tintorería
INVERSIONES YURIKO E.I.R.L,Av. Campoy Nor.,15001 Lima,Peru,+51 1 3863293,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
VISAGRAFICA S.A.C,Jr.Chota Nor.1061,15001 Lima,Peru,+51 1 4314182,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
MULTI TALENTO CONFECCIONES S.C.R.L,Cl. Los Talladores Nor.209 Av Frutales Y Separadora Industrial,15001 Lima,Peru,+51 1 4782712,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
EDITORIAL VIDA E.I.R.L,Mza. A Lote. 16 Urb. El Alamo Costado Mercado Unicachi Del Alamo Lima,15001 Lima,Peru,+51 1 4335015,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INVERSIONES SHURDO S.A.C,Pr. Huanuco Nor.1465,15001 Lima,Peru,+51 1 7753292,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
D` LOPE S.R.L,Cl. 15 Nor.N Ovalo De Infantas,15001 Lima,Peru,+51 1 5286813,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
YASCELL SOCIEDAD ANONIMA CERRADA - YASCELL S.A.C.,Cl. La Macarena Mza. K Lote. 3 Coo. Ancieta,15001 Lima,Peru,+51 1 3852855,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
INVERSIONES & CONTRATISTAS PANTA S.A.C,Av. Emancipacion Nor.319 Alt. Cine Tacna,15001 Lima,Peru,+51 96377505,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
JH IMPRESIONES CORPORACION GRAFICA S.A.C. - JH IMPRESIONES,Cl. Josefina Ramos De Cox Nro 190 Dpto. 603,15001 Lima,Peru,+51 1 5536886,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
MATIZ CREATIVIDAD IMPRESA S.A.C,Av. Los Heroes Nor. Ahora Na° 220/Of.3128/C.C.Plataforma 3,15001 Lima,Peru,+51 1 2771097,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
RIMGRAF SAC,Mza. B Lote. 14,15001 Lima,Peru,+51 1 2875835,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
DISTRIBUIDORA HUMBOLT SRLTDA,Av. Javier Luna Pizarro Nor.253 Alt Grifo Palao,15001 Lima,Peru,+51 1 5341955,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
LAMIFAST SOCIEDAD ANONIMA,Av.La Merced Nro 1024,15001 Lima,Peru,+51 1 2664977,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
MAK COPY S.A.C,Av. Inca Garcilazo De La Vega Nor.1282 Cruce De Bolivia Y Wilson,15001 Lima,Peru,+51 1 4316069,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INDUSTRIA GRAFICA MUNDO S.R.L,Jr.Manuel Castaa¥Eda Nor.346,15001 Lima,Peru,+51 1 2660203,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INDUSTRIA FATRI S.A.C,Jr.Los Pinos Nor.432B Alt Paradero Canto Rey - Fte A Sedapal,15001 Lima,Peru,+51 1 3888685,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
ROMICOMPU S.A.C,Cl. Guillermo De La Flor Nor.119,15001 Lima,Peru,+51 1 7365326,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
